1090	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	boost my phone to play spiderman.	this my phone to play spider-man (0.83911705)
1091	com.sec.android.app.camera;com.snapchat.android	Take picture and send to Brooke.	take picture and send to Brooke (0.97085238)
1092	com.android.mms;com.sec.android.app.camera	open the picture Brooke sent me.	open the picture Brooke Summey
1093	com.android.mms;com.snapchat.android	text Brooke. How are you? Open Snapchat. Eh Take a picture. Send it to Brooke.	text Brooke (0.88680905) Korea (0.39947951) open snapchat (0.98214173) take picture (0.9680227) send it to Brooke (0.66524148)
1094	com.sec.android.app.camera;com.android.browser	Eh open my picture gallery. Alright now open a browser. Go to slader dot com.	open my picture gallery (0.98762906) open a browser go to slater.com (0.9503324)
1095	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	Boost my phone so I can play spiderman.	is my phone so I can play spider-man (0.76873887)
1096	com.sec.android.app.camera;com.snapchat.android	Take a picture and send it to Brooke.	that take a picture and send it to Brooke (0.88662732)
1097	com.android.browser;com.sec.android.app.popupcalculator;com.android.browser	Um look up kinematic equations. Ok now open my calculator so I can plug in numbers. Um let me check the solutions online.	look up kinematics equations (0.92493904) okay I know my calculator so I can plug in numbers (0.93193048) millimeter to solutions online (0.87859654)
1098	com.android.mms;com.android.browser	Open the link Brooke sent me.	open the wind Brook semi (0.77406478)
1099	com.android.mms;com.snapchat.android	Alright text Brooke. Love you. Alright now send her a picture.	Britax brooke love you (0.89495212) redness under a picture (0.93450063)
1100	com.google.android.gm;com.facebook.katana	Alright check my emails. Alright cool. let's check my facebook messages. tell Brooke I can't talk right now.	Rite check my emails (0.86260962) nightcore with check my facebook messages (0.91316885) tell Brooke I can't talk right now (0.84500414)
1101	com.android.browser;com.android.mms	Alright. look up good restaurants in Oakland. send a link to Fuel and Fuddle to Brooke.	look up good restaurants in Oakland (0.98585612) send a link to fuel and fuddle Brook (0.83802736)
1102	call;com.android.mms	call Brooke. call her cellphone. text her instead. Hey what are you doing?	call Brooke (0.81057525) car cellphone text her instead (0.69396001) hey what are you doing (0.97115296)
1103	com.android.mms;com.google.android.youtube	Text Steph. What's good? open the link.	text Steve (0.62946975) what's good (1) open the link (0.94964677)
1104	com.android.mms;com.google.android.apps.maps	text pang. Could we get to CVS? Look up how to get to CVS.	text pang (0.7170707) can I go to CVS look up how to get to CVS (0.97282034)
1105	com.snapchat.android	Alright send a picture to Brooke. take a picture. send it to Brooke. Snapchat!	right send a picture to Brooke (0.8907308) take a picture (0.98762912) senator Brooke snapchat (0.90289235)
1106	com.snapchat.android;com.android.mms	Snapchat Brooke. send her a picture of me. Take a picture on Snapchat. Alright now text her. What's up?	snapchat Brooke send a picture of me take a picture on snapchat (0.93821812) Rhino texture what's up (0.90384388)
1107	com.snapchat.android;com.android.mms	Snapchat Brooke. Take a selfie. Alright now text her. Where will you be?	snapchat Brooke take a selfie (0.98762912) Rhino texture (0.87849188) where you be (0.85068989)
