1   	com.tencent.mm;com.android.mms;com.tencent.mm	getting friends to gather for karaoke
2   	com.android.mms;com.google.android.gm;com.android.mms;com.tencent.mm	trying to get up from bed
3   	com.tencent.mm;com.lge.ime;com.tencent.mm	talk with landlord on wechat
4   	com.google.android.gm;com.android.chrome;com.google.android.gm	check gmail
5   	com.android.gallery3d;com.android.providers.downloads.ui;com.android.gallery3d;com.lge.camera	looking for a picture
6   	com.android.mms;com.tencent.mm	during experiment for android logger
7   	com.android.calendar;com.google.android.gm;com.android.calendar;com.google.android.gm	check back and forth between gmail notification and google calendar
8   	com.android.chrome;com.google.android.apps.maps;com.android.mms	using maps to get to upmc urgent care sending text message
9   	com.google.android.apps.maps;com.android.chrome;com.facebook.katana	trying to locate silky 's ;
10  	com.android.calendar;com.facebook.orca	checked calendar ;
11  	com.sec.android.app.popupcalculator;com.android.calendar	used calculator to calculate hours worked in the past month
12  	com.facebook.orca;com.google.android.youtube	com.facebook.orca com.google.android.youtube : watching a video
13  	com.sec.android.app.camera;com.facebook.orca	taking and sending a photo
14  	com.sec.android.app.camera;com.facebook.orca	took a picture of snow shared picture of snow on facebook messenger
15  	com.android.vending;com.overdrive.mobile.android.mediaconsole	looking for overdrive_mobile application ; listening to audio book
16  	com.sec.android.app.clockpackage;com.sec.android.app.camera	timing exercise workout ; documenting work out results
17  	com.android.vending;com.imgur.mobile;com.facebook.orca;com.imgur.mobile	looking for imgur app ; browsing imgur ; sending friends link to imgur picture ; returning to imgur
18  	com.google.android.gm;com.android.chrome;com.android.calendar;com.softek.ofxclmobile.nasa	updating work schedule ; checking bank account
19  	com.sec.android.gallery3d;com.sec.android.app.videoplayer;com.sec.android.gallery3d	killing time searching through old photos and videos
20  	com.facebook.orca;com.android.mms;com.facebook.orca;com.facebook.orca	coordinating about rowing practice
21  	com.spotify.music;com.sec.android.app.clockpackage;com.spotify.music	setting timer for workout putting workout music on ( winter training playlist on spotify )
22  	com.venmo;com.android.mms;com.venmo;com.Splitwise.SplitwiseMobile;com.venmo;com.android.mms;com.Splitwise.SplitwiseMobile;com.venmo	receiving payments from housemates for bills via venmo updating balances on splitwise
23  	com.sec.android.app.camera;com.facebook.katana;com.sec.android.gallery3d;com.sec.android.app.camera;com.facebook.katana	posting photo to facebook
24  	com.android.contacts;outgoing_call;com.android.incallui;com.facebook.katana;com.facebook.orca	phonecall/facebook message thread with leslie tay
25  	com.facebook.katana;com.android.mms;outgoing_call;com.android.incallui;com.android.mms;com.android.contacts;outgoing_call;com.android.incallui;com.android.contacts	trying to call leslie tay call kept dropping
26  	com.android.contacts;com.android.mms	looking up sushma 's phone number sending her a text message
27  	com.facebook.orca;com.android.vending;com.facebook.orca;com.skype.raider;com.facebook.orca;com.skype.raider	coordinating time for skype call with dmitriy downloading skype skyping
28  	com.skype.raider;com.facebook.orca;com.skype.raider	initiating/coordinating a second skype call after the first one got dropped
29  	com.sec.android.gallery3d;com.facebook.katana	uploading photo to facebook
30  	com.socialnmobile.dictapps.notepad.color.note;com.android.calendar	made a to-do list for the day in notepad checked calendar to see availability for getting everything done
31  	com.facebook.orca;com.socialnmobile.dictapps.notepad.color.note	messaged friend about finishing a paper outline crossed that item off of to-do list in notepad
32  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
33  	com.sec.android.app.camera;com.snapchat.android	looking at pictures
34  	com.android.mms;com.sec.android.app.camera	downloading and viewing a picture brooke sent
35  	com.android.mms;com.snapchat.android	messaging brooke
36  	com.sec.android.app.camera;com.android.browser	looking up math problems
37  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
38  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
39  	com.sec.android.app.camera;com.snapchat.android	picture messaging brooke
40  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
41  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
42  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spider-man game
43  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM;com.gameloft.android.ANMP.GloftSIHM;com.gameloft.android.ANMP.GloftSIHM	playing spider-man game
44  	com.android.browser;com.sec.android.app.popupcalculator;com.android.browser	doing p hysics homework
45  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
46  	com.android.mms;com.android.browser;com.android.mms	viewing a link brooke sent me
47  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
48  	com.android.mms;com.snapchat.android	messaging brooke
49  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
50  	com.google.android.gm;com.facebook.katana	checking emails/messages
51  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
52  	com.android.mms;com.snapchat.android;com.android.mms	messaging brooke
53  	com.android.browser;com.android.mms	making weekend plans with brooke
54  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
55  	com.android.mms;com.snapchat.android;com.android.mms	messaging brooke
56  	com.snapchat.android;com.android.mms	texting brooke
57  	com.snapchat.android;com.yik.yak;com.snapchat.android	opening link to yikyak
58  	com.android.mms;com.snapchat.android;com.android.mms	messaging brooke
59  	com.android.mms;com.snapchat.android;com.google.android.youtube	texting and snapchatting with steve watching a video recommended by steve .
60  	com.android.mms;com.google.android.apps.maps	texting friend pang about going to cvs looking up how to get to cvs
61  	com.snapchat.android;com.android.mms	texting brooke about meeting up
62  	com.cleanmaster.mguard;com.yodo1.crossyroad	playing crossy road with optimum ram
63  	com.cleanmaster.mguard;com.yodo1.crossyroad	playing crossy road
64  	com.android.vending;com.gameloft.android.ANMP.GloftSIHM	updating and playing spiderman
65  	com.android.browser;com.wolfram.android.alpha;com.android.browser;com.wolfram.android.alpha	using calculus software
66  	com.android.vending;com.wolfram.android.alpha;com.android.vending	purchasing wolfram alpha on the play store
67  	com.android.mms;com.snapchat.android	texting brooke
68  	com.shazam.android;com.shazam.android;com.android.vending;com.shazam.android;com.shazam.android	looking for a song on the play store
69  	com.android.browser;com.google.android.youtube;com.android.vending;com.clearchannel.iheartradio.controller;com.android.vending	listening to and trying to buy a new song .
70  	com.google.android.gm;com.android.browser;com.google.android.gm;com.android.browser	reading emails and following links provided in the email
71  	com.cleanmaster.mguard;com.yodo1.crossyroad;com.cleanmaster.mguard;com.yodo1.crossyroad;com.cleanmaster.mguard;com.cleanmaster.mguard	playing and optimizing ram for crossy road
72  	com.android.vending;com.yuechuan.freedots	downloading a new game from the app store
73  	com.android.mms;com.snapchat.android	messaging brooke
74  	com.android.mms;outgoing_call;com.android.phone;com.android.mms	texting and calling ash
75  	com.android.mms;com.android.phone;outgoing_call;com.android.mms;com.android.phone	asking brooke if she was free to talk via text then calling her
76  	com.sec.android.app.clockpackage;com.sec.android.app.popupcalculator;com.fitbit.FitbitMobile	seeing how much time left i had to win a step challenge on the fitbit app
77  	com.android.contacts;com.fitbit.FitbitMobile;com.android.mms;com.android.contacts;com.android.mms;com.android.contacts;com.android.contacts	talking with my family about the step challenge
78  	com.android.mms;com.fitbit.FitbitMobile	talking with my family about the step challenge
79  	com.android.mms;com.android.mms;com.fitbit.FitbitMobile;com.android.mms	talking with my family about the step challenge
80  	com.android.browser;com.wolfram.android.alpha;com.android.browser	looking up and calculating integrals for calculus
81  	com.android.mms;com.fitbit.FitbitMobile	talking with my family about the fitbit step challenge
82  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
83  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
84  	com.snapchat.android;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
85  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
86  	com.android.mms;outgoing_call;com.android.phone;com.android.mms	talking with jj
87  	com.facebook.katana;com.android.mms;com.facebook.orca	talking with eloy about project
88  	com.google.android.gm;com.android.mms;com.google.android.gm	creating an email list for a project group
89  	com.android.mms;com.google.android.gm	talking with project group
90  	com.android.mms;outgoing_call;com.android.phone;com.android.mms	texting and calling ash
91  	com.google.android.gm;com.android.mms;com.google.android.gm	talking with project group
92  	com.android.mms;com.google.android.gm;com.android.mms	messaging project group
93  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
94  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM;com.facebook.katana;com.gameloft.android.ANMP.GloftSIHM	inviting nerds to spiderman
95  	com.android.mms;com.snapchat.android	messaging brooke
96  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing and optimizing spiderman
97  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM;com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
98  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
99  	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
100 	com.android.mms;com.snapchat.android	messaging friends
101 	com.google.android.gm;com.android.browser;com.google.android.gm	sharing links with civil engineering group
102 	com.android.mms;com.google.android.gm;com.android.mms;com.android.browser	conversations with project group
103 	com.android.mms;com.facebook.orca	talking with group members for project
104 	com.android.vending;com.raon.aremotefreegalaxy;com.android.vending;com.raon.aremotefreegalaxy;com.android.vending;com.raon.aremotefreegalaxy	downloading and using a projector remote app
105 	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	playing spiderman
106 	com.snapchat.android;com.android.mms;com.snapchat.android;com.android.mms;com.android.mms;com.snapchat.android;com.android.phone;com.android.mms	messaging brooke while she was at work
107 	com.shazam.android;com.google.android.youtube	using shazam to identify a song . then listening to it on youtube . do you wan na dance ? by the beach boys
108 	com.facebook.katana;com.facebook.orca	messaging eloy on facebook
109 	com.sec.android.gallery3d;com.android.mms;com.sec.android.gallery3d	sending a picture to brooke
110 	com.android.mms;com.snapchat.android;com.android.mms	messaging with friends
111 	com.android.browser;com.sec.android.app.videoplayer	downloading and watching a video
112 	com.fitbit.FitbitMobile;com.android.mms;com.fitbit.FitbitMobile	looking at my step count and then talking to my family about the step challenge
113 	com.android.browser;com.android.mms	sharing a link with a friend
114 	com.android.mms;com.fitbit.FitbitMobile	talking with my family about the step challenge
115 	com.android.mms;com.android.browser;com.android.mms	looking at a link brooke sent me and then messaging her back
116 	com.fitbit.FitbitMobile;com.android.mms	looking at my step count then bragging to my family
117 	cmu.troy.androidlogger;com.google.android.gm;com.android.browser	sending logs
118 	com.android.mms;com.snapchat.android;com.android.mms	talking with friends
119 	com.android.mms;com.snapchat.android	checking messages
120 	com.google.android.gm;com.android.browser;com.google.android.gm	talking and sharing with group mates
121 	com.yodo1.crossyroad;com.sec.android.app.camera	talking a screenshot of highscore in crossy road
122 	com.android.browser;com.sec.android.app.camera;com.android.browser	looking at homework questions then looking up answers online
123 	com.sec.android.app.camera;com.android.browser;com.sec.android.app.camera	looking at homework questions in gallery then checking solutions online
124 	com.cleanmaster.mguard;com.gameloft.android.ANMP.GloftSIHM	allocating memory for spiderman then playing it
125 	com.android.mms;com.facebook.katana	discussing project plans with group members
126 	com.android.mms;com.fitbit.FitbitMobile	talking to brooke about the step challenge
127 	com.android.browser;com.google.android.apps.docs;com.android.browser;com.infraware.polarisviewer4	downloading a project file from my group 's google drive and viewing it
128 	com.android.mms;com.snapchat.android	checking messages
129 	com.android.mms;com.snapchat.android	messaging brooke
130 	com.android.mms;com.snapchat.android	messaging cody
131 	com.android.mms;com.fitbit.FitbitMobile	talking about fitbit activity challenge with my family
132 	com.android.mms;com.snapchat.android;com.android.mms;com.snapchat.android	chatting with friends
133 	com.google.android.gm;com.android.mms	emailing and texting group members for a project
134 	com.snapchat.android;com.android.mms;com.google.android.gm	talking with group members about a project
135 	com.android.browser;com.android.vending;com.android.packageinstaller;com.android.settings;com.android.packageinstaller	downloading a cm launcher app and giving it special permissions in my settings
136 	com.android.vending;com.katecca.screenofflock;com.android.settings	downloading a lock screen app and giving it special permissions
